size_sqft,bedrooms,bathrooms,age_years,location_score,price_lakhs
1810.9,6,3,3,1,95.69
3827.5,1,2,11,9,159.61
3062.0,1,3,36,9,147.08
2595.3,1,1,36,9,119.21
1046.1,5,4,5,5,110.81
1046.0,4,3,38,9,109.36
703.3,5,3,23,4,59.78
3531.6,4,4,10,2,125.66
2603.9,5,3,12,6,136.24
2978.3,5,3,33,4,107.97
572.0,6,2,24,6,82.3
3894.7,3,4,6,3,135.23
3413.5,5,1,3,6,159.5
1243.2,6,3,7,2,86.54
1136.4,2,4,19,2,59.83
1141.9,3,2,28,9,91.52
1564.8,5,1,9,7,122.54
2336.6,1,4,33,3,84.57
2011.8,2,1,25,1,79.74
1519.3,2,1,40,8,101.64
2641.5,6,1,2,6,120.74
988.2,2,3,5,7,106.05
1522.5,3,3,4,9,153.86
1782.3,5,2,4,5,118.68
2096.2,5,2,22,1,75.61
3248.1,1,4,8,10,180.56
1198.9,6,2,34,7,89.55
2299.8,1,1,19,5,101.08
2573.5,2,1,34,3,74.26
662.6,1,3,17,9,101.96
2626.4,3,1,16,1,87.51
1096.8,5,4,23,1,47.27
727.7,2,1,2,1,62.33
3821.1,1,1,31,3,96.89
3879.7,6,4,34,6,149.0
3329.4,3,2,37,10,136.98
1566.1,3,2,12,3,86.92
841.9,1,4,24,8,109.1
2894.8,5,3,8,10,168.85
2040.5,1,1,3,2,68.81
927.1,2,4,13,9,118.92
2233.1,1,1,36,3,79.91
620.4,3,3,33,5,48.01
3682.6,1,1,10,10,160.09
1405.7,5,4,40,8,100.57
2818.8,6,1,2,2,103.07
1591.0,4,2,27,6,87.05
2320.2,1,3,28,5,73.56
2413.5,5,3,8,10,170.26
1147.0,5,3,2,9,139.23
3893.5,6,4,24,5,129.68
3213.0,3,3,33,2,104.93
3788.2,5,2,11,5,163.78
3631.9,5,4,8,4,135.73
2592.6,5,2,14,7,148.32
3726.6,5,1,39,6,123.1
809.7,2,1,24,2,43.31
1185.9,2,1,4,5,80.66
658.3,3,1,10,7,114.81
1638.7,1,2,33,7,87.41
1860.4,5,4,23,5,105.07
1449.7,6,4,14,9,130.92
3400.6,1,3,37,4,119.52
1748.6,6,2,7,3,115.24
1483.3,1,1,4,4,100.27
2399.4,3,2,25,5,111.55
993.2,5,3,17,6,90.52
3307.7,5,3,5,3,136.93
760.9,4,2,36,2,39.35
3954.1,6,2,12,4,157.61
3202.9,1,2,27,5,121.62
1195.5,1,4,4,4,79.22
519.3,2,1,12,3,62.76
3354.1,4,2,16,8,162.1
2974.0,2,2,39,10,111.54
3051.5,2,2,31,4,107.24
3199.4,2,3,28,2,86.77
759.2,6,3,2,2,66.22
1754.6,6,4,39,1,51.46
905.5,3,1,33,4,53.86
3520.9,3,4,39,10,163.02
2681.5,2,1,26,9,119.68
1658.1,4,3,12,7,120.96
722.5,1,3,32,10,105.12
1588.4,6,3,5,7,147.89
1638.1,4,4,23,7,101.6
3053.6,5,2,18,8,147.18
2731.5,6,2,15,1,96.25
3605.2,6,3,39,10,177.88
2152.8,3,2,27,10,132.41
918.6,1,2,32,8,96.76
2996.4,1,4,40,4,73.55
3162.7,5,1,12,4,110.62
2464.5,5,3,24,4,108.08
3198.4,6,3,35,6,115.36
2228.3,2,4,26,7,104.02
2329.6,3,4,37,6,98.71
1996.4,3,2,6,1,84.84
589.0,6,3,4,8,99.12
877.6,4,1,30,10,109.76
610.0,2,4,22,7,96.93
2727.4,6,1,9,6,133.9
1600.2,2,1,31,6,80.02
2280.0,2,3,29,5,99.92
3676.5,2,3,38,6,122.71
1372.5,6,4,30,9,137.36
1936.3,3,3,17,10,130.51
3144.4,3,3,35,9,142.87
1300.8,2,3,1,10,140.77
769.4,4,1,13,8,99.7
1514.1,1,4,12,10,104.97
1064.3,6,2,28,9,112.28
3753.9,1,1,11,10,180.78
3328.4,4,3,38,8,147.45
